Tipo	Criatura em Portugues	Criatura em Francês	Criatura em Inglês	Criatura em Espanhol	Imagem URL
Mascote	Abra Kadabra	Abra Kadabra	Treechster	Abra kadabra	https://api.dofusdu.de/dofus3/v1/img/item/18034-128.png
Mascote	Amiglurso	Bisouglours	Teddybearbarian	Besosete	https://api.dofusdu.de/dofus3/v1/img/item/18076-128.png
Mascote	Atuin	Atouin	Atooin	Tortuga	https://api.dofusdu.de/dofus3/v1/img/item/18017-128.png
Mascote	Awaw	Chienchien	Bow Wow	Wauwau	https://api.dofusdu.de/dofus3/v1/img/item/18006-128.png
Mascote	Awaw malhado	Chienchien Tigré	Brindled Bow Wow	Wauwau atigrado	https://api.dofusdu.de/dofus3/v1/img/item/18064-128.png
Mascote	Awaw Negro	Chienchien Noir	Black Bow Wow	Wauwau negro	https://api.dofusdu.de/dofus3/v1/img/item/18010-128.png
Mascote	Bebê Pandawa	Bébé Pandawa	Pandawa Cub	Bebé pandawa	https://api.dofusdu.de/dofus3/v1/img/item/18042-128.png
Mascote	Bilby	Bilby	Bilby	Bilby	https://api.dofusdu.de/dofus3/v1/img/item/18043-128.png
Mascote	Black Pekewabbit	Black Tiwabbit	Black Tiwabbit	Black pekewabbit	https://api.dofusdu.de/dofus3/v1/img/item/18096-128.png
Mascote	Bloalak	Bloalak	Bloalak	Bloalak	https://api.dofusdu.de/dofus3/v1/img/item/18107-128.png
Mascote	Blokus	Blokus	Blokus	Blokus	https://api.dofusdu.de/dofus3/v1/img/item/18104-128.png
Mascote	Boloto	Bouloute	Gobbtubby	Boluto	https://api.dofusdu.de/dofus3/v1/img/item/18035-128.png
Mascote	Boloto do Padrinho	Bouloute du Parrain	The Godfather's Gobtubby	Boluto del padrino	https://api.dofusdu.de/dofus3/v1/img/item/18046-128.png
Mascote	Bontarrapato	Bontique	Bontick	Bontapata	https://api.dofusdu.de/dofus3/v1/img/item/18109-128.png
Mascote	Borcego	Chauffe-souris	Borbat	Murciego	https://api.dofusdu.de/dofus3/v1/img/item/18054-128.png
Mascote	Borcego desbotado	Chauffe-souris Délavée	Stone-washed Borbat	Murciego pálido	https://api.dofusdu.de/dofus3/v1/img/item/18066-128.png
Mascote	Boskito	Boskito	Tubskito	Moskitorro	https://api.dofusdu.de/dofus3/v1/img/item/18093-128.png
Mascote	Brákaro	Brâkarien	Brakarina	Brakmákaro	https://api.dofusdu.de/dofus3/v1/img/item/18110-128.png
Mascote	Bulbenxerta	Bulbouture	Bulbutting	Bulbeskeje	https://api.dofusdu.de/dofus3/v1/img/item/18089-128.png
Mascote	Bulbitoca	Bulbisou	Bulbisou	Bulbesor	https://api.dofusdu.de/dofus3/v1/img/item/18074-128.png
Mascote	Bwak de Água	Bwak d'Eau	Water Bwak	Bwak de agua	https://api.dofusdu.de/dofus3/v1/img/item/18002-128.png
Mascote	Bwak de Ar	Bwak d'Air	Air Bwak	Bwak de aire	https://api.dofusdu.de/dofus3/v1/img/item/18004-128.png
Mascote	Bwak de Fogo	Bwak de Feu	Fire Bwak	Bwak de fuego	https://api.dofusdu.de/dofus3/v1/img/item/18003-128.png
Mascote	Bwak de Terra	Bwak de Terre	Earth Bwak	Bwak de tierra	https://api.dofusdu.de/dofus3/v1/img/item/18005-128.png
Mascote	Bworky	Bworky	Bworky	Bworky	https://api.dofusdu.de/dofus3/v1/img/item/18031-128.png
Mascote	Caçador de Ogrinas	Chercheur d'Ogrines	Ogrine Seeker	Buscador de ogrinas	https://api.dofusdu.de/dofus3/v1/img/item/18056-128.png
Mascote	Coguzim	Meuch	Smush	Miscaludo	https://api.dofusdu.de/dofus3/v1/img/item/18059-128.png
Mascote	Corvoquinho Feio	Vilain Petit Corbac	Baby Crowdzilla	Cuerbokito Feo	https://api.dofusdu.de/dofus3/v1/img/item/18018-128.png
Mascote	Crocodyl	Crocodaille	Crocodyl	Cocodrail	https://api.dofusdu.de/dofus3/v1/img/item/18047-128.png
Mascote	Cromignomo	Cromeugnon	Cromigmite	Cromiñoncito	https://api.dofusdu.de/dofus3/v1/img/item/18068-128.png
Mascote	Crum	Croum	Croum	Crum	https://api.dofusdu.de/dofus3/v1/img/item/18015-128.png
Mascote	Dógui	Dauge	Dauge	Dog	https://api.dofusdu.de/dofus3/v1/img/item/18120-128.png
Mascote	Draguna Dourada	Dragoune Dorée	Golden Dragoone	Dragún dorado	https://api.dofusdu.de/dofus3/v1/img/item/18057-128.png
Mascote	Draguna Negra	Dragoune Noire	Black Dragoone	Dragún negro	https://api.dofusdu.de/dofus3/v1/img/item/18048-128.png
Mascote	Draguna Rosa	Dragoune Rose	Pink Dragoone	Dragún rosa	https://api.dofusdu.de/dofus3/v1/img/item/18014-128.png
Mascote	Drakomparsa	Drakopin	Friendrake	Drakolega	https://api.dofusdu.de/dofus3/v1/img/item/18106-128.png
Mascote	El Scarador	El Scarador	El Scarador	Escarador	https://api.dofusdu.de/dofus3/v1/img/item/18036-128.png
Mascote	Eliotasma	Eliôme	Eliom	Selotasma	https://api.dofusdu.de/dofus3/v1/img/item/18105-128.png
Mascote	Eskimute	Écumouth	Cromagmunk	Ardilla de las nieves	https://api.dofusdu.de/dofus3/v1/img/item/18070-128.png
Mascote	Esquilo Travesso	Écureuil Chenapan	Mischievous Squirrel	Ardilla pilla	https://api.dofusdu.de/dofus3/v1/img/item/18016-128.png
Mascote	Feanor	Fëanor	Feanor	Feanor	https://api.dofusdu.de/dofus3/v1/img/item/18045-128.png
Mascote	Fosfo	Fosfo	Fosfor	Fosfo	https://api.dofusdu.de/dofus3/v1/img/item/164020-128.png
Mascote	Fotasma	Fotome	Ghast	Fotasma	https://api.dofusdu.de/dofus3/v1/img/item/18013-128.png
Mascote	Gatzgrila	Chaperlipopette	Maulleycat	Maullino	https://api.dofusdu.de/dofus3/v1/img/item/18115-128.png
Mascote	Gelifox	Givrefoux	Snowfoux	Gélifux	https://api.dofusdu.de/dofus3/v1/img/item/18071-128.png
Mascote	Gelusa	Médugivre	Jellifrost	Fridusa	https://api.dofusdu.de/dofus3/v1/img/item/18069-128.png
Mascote	Girinim	Titard	Groogler	Pekenacuajo	https://api.dofusdu.de/dofus3/v1/img/item/18113-128.png
Mascote	Glub	Glub	Glub	Glub	https://api.dofusdu.de/dofus3/v1/img/item/18118-128.png
Mascote	Gupin	Gupin	Gupin	Gupin	https://api.dofusdu.de/dofus3/v1/img/item/18067-128.png
Mascote	Herbichinho	Zarbichon	Oddnipup	Raribichón	https://api.dofusdu.de/dofus3/v1/img/item/18330-128.png
Mascote	Homlett	Homlett	Homlett	Jamlet	https://api.dofusdu.de/dofus3/v1/img/item/18099-128.png
Mascote	Javalino	Marcassin	Young Wild Boar	Cochino jabato	https://api.dofusdu.de/dofus3/v1/img/item/18020-128.png
Mascote	Jellufo	Gelutin	Jellufo	Gelutín	https://api.dofusdu.de/dofus3/v1/img/item/18055-128.png
Mascote	Juba	Moumoute	Mastostroke	Peluso	https://api.dofusdu.de/dofus3/v1/img/item/18108-128.png
Mascote	Kafarsa	Kafarce	Snickermite	Kraxiste	https://api.dofusdu.de/dofus3/v1/img/item/18090-128.png
Mascote	Kaniglups	Kanigloups	Kanigloopy	Kaniglúps	https://api.dofusdu.de/dofus3/v1/img/item/18073-128.png
